GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kivipaperisakset,kivipaperisakset,Peli,109,42,23,13,31,9,17,5,3,1
kivipaperisakset,kivipaperisakset,Pelaaja,5,30,3,1,3,12,3,4,0,4
